title	is_fake
москвич владимир клутина прийти счёт вмешательство американский выборы	1
агент кокорин назвать езда встречка житейский история	0
госдума рассмотреть возможность введение секретный стать уголовный кодекс	1
фас заблокировать поставка скоростной трамвай москва	0
навальный завести дело недоносительство волков	1
российский студент запретить учиться рубеж	1
путин писать книга история украина	1
россиянин обхитрить рост цена	0
звезда воронин раскрыть подробность свой состояние	0
microsoft объявить дата выход очко дополнить реальность hololens	0
марат хуснуллин призвать прописать закон понятие многонациональный дом	1
проведение профилактический работа сентябрь россия отключить интернет	1
россия ввести обязательный техосмотр садовый инвентарь	1
топилина провозгласить окончание зарплатный кризис россия	0
режиссёр алексей герман наградить орден	0
олафа шольц дед рассказывать вкусный украина кура молоко яйцо	1
беглов петербург основать эра полтора тысяча старший москва	1
случай дефицит препарат эпиваккорона храм рпц провести вакцинация святой вода	1
энтони андерсон стать молодой папаша	0
люксембург выслать страна собака российский дипломат	1
ubisoft анонсировать новый часть игра ghost recon	0
байконур сломать малайзийский спутник	0
покемон одолеть killzone bulletstorm британский чарт	0
израиль возбудить уголовный дело виктор шендерович реабилитация нацизм	1
житель село париж признать иностранный агент	1
противник телевизор создать абсолютный оружие	0
франция заложить мистраль россия	0
ольга бузов удостоить звание заслужить артистка днр	1
борис джонсон пожаловаться двойник регистрировать выборы лейборист	1
американский институт кинематография выбрать хороший фильм	0
ольгино объяснить большой количество комментарий сообщение володин qrкод	1
книга гарри поттер побить рекорд продажа	0
nexter gtd вместе строить бронетранспортёр испания	0
правительство рф заставить компания снизить бонус ради господдержка	0
майкл бэй извиниться кадр гибель пилот континуум	0
u metallica сыграть юбилей зал слава рокнролл	0
анатолий вассерман рассказать попытка уг сорвать избрание госдума	1
физика взвесить антипротон атомкула	0
bloomberg сообщить намерение россия отложить размещение евробонд	0
procter gamble перевести часть бизнес сингапур	0
инженер cisco system создать сорокаядерный процессор	0
учёный отказаться классический гипотеза заселение америка	0
правительство предложить объединить татарстан башкортостан	1
онлайнсвадьба россия зафиксировать случай драка	1
валерий рашкина лось подбросить	1
январь сервис google drive запретить хранить документ русский язык	1
месси почувствовать плохо самолёт	0
зеленский назвать назначение азаров пост премьерминистр украина новогодний шутка	1
интерес газпромбанк защитить американский сенатор	0
алиса тепляков планировать выйти пенсия	1
fox начало работа экранизация вольтрон	0
рпц призвать предать анафема илона маска изз обвал биткоина	1
сырьевой валюта оказаться устойчивый падение цена нефть металл	0
российский велогонщик попасться допинг	0
привиться коронавирус россиянин добавить неделя отпуск	1
центр ереван снести незаконный палаточный рынок	1
белорусский телевидение включить реклама момент попадание таракан трансляция футбольный матч олимпиада	1
украина опуститься четвёртый место отборочный группа евро	0
greenpeace предложить запретить сми указывать биологический вид вредитель	1
